dataset,column_header,data_type,num_of_rows,is_normality,column_description
wine,alcohol,quant,178,False,
wine,malic_acid,quant,178,False,
wine,ash,quant,178,True,
wine,alcalinity_of_ash,quant,178,True,
wine,magnesium,quant,178,False,
wine,total_phenols,quant,178,False,
wine,flavanoids,quant,178,False,
wine,nonflavanoid_phenols,quant,178,False,
wine,proanthocyanins,quant,178,True,
wine,color_intensity,quant,178,False,
wine,hue,quant,178,False,
wine,od280/od315_of_diluted_wines,quant,178,False,
wine,proline,quant,178,False,
wine,target,cate,178,False,
